# numero|texto  (uma cena por linha!)
1|Voce acorda em uma floresta escura. Nao consegue lembrar como chegou ate aqui.
2|Depois de caminhar pela floresta, voce encontra uma pequena casa abandonada.
3|Dentro da casa existe uma mesa velha, uma lareira apagada e uma porta trancada.
4|Voce encontra uma chave escondida embaixo da mesa.
5|Com a chave em maos, voce consegue abrir a porta dos fundos da casa.
6|Do outro lado da porta existe uma trilha que leva ate uma antiga caverna.
7|Voce entra na caverna e percebe que existem dois caminhos. Ao fundo, a entrada da caverna ainda deixa passar um fio de luz.
8|O caminho da esquerda leva ate uma sala iluminada por tochas.
9|O caminho da direita leva ate um corredor escuro e silencioso.
10|Na sala das tochas, voce encontra um bau antigo.
11|O corredor termina em uma grande porta de pedra. Do outro lado, voce ouve uma respiracao pesada.
12|Voce abre o bau e encontra uma espada antiga e um frasco de pocao de vida.
13|Voce abre a porta de pedra e encontra o Guardiao do Tesouro, um monstro enorme que protege um bau dourado. Ele ruge e parte para cima de voce!
14|Voce derrota o monstro e encontra um enorme tesouro. Voce conseguiu! FIM.
15|Voce decide fugir da caverna e voltar para a floresta.
16|Voce se perde na floresta e encontra novamente a casa abandonada.
17|Voce conseguiu escapar da floresta, mas nunca descobriu o que havia dentro da caverna. FIM.
