# cena|numeroDaOpcao|texto|proximaCena
1|1|Caminhar pela floresta|2
2|1|Entrar na casa abandonada|3
3|1|Procurar embaixo da mesa velha|4
4|1|Tentar abrir a porta dos fundos com a chave|5
5|1|Seguir a trilha|6
6|1|Entrar na caverna|7
7|1|Seguir pelo caminho da esquerda|8
7|2|Seguir pelo caminho da direita|9
7|3|Fugir da caverna|15
8|1|Entrar na sala das tochas|10
9|1|Seguir pelo corredor escuro|11
10|1|Abrir o bau antigo|12
10|2|Deixar o bau e voltar para a caverna|7
11|1|Abrir a grande porta de pedra|13
11|2|Fugir da caverna|15
12|1|Voltar e seguir pelo corredor escuro|9
15|1|Correr pela floresta|16
16|1|Procurar a saida da floresta|17
